Year,Name,Category,Rain Inch.,Highest Wind Speed,Damage(USD),Fatalities,Affected Areas
2020,Cristobal,TS,24.48,60,865000000,46,"Central America (especially Guatemala, El Salvador and Honduras), Mexico, Central United States, Great Lakes Region, Eastern Canada"
2020,Fay,TS,4.58,60,220000000,6,"Eastern Southeastern United States, East Coast of the United States, Atlantic Canada"
2020,Hanna,Category 1,15.0,90,1200000000,9,"Cuba, Hispaniola, Gulf Coast of the United States (mainly Texas), Mexico"
2020,Isaias,Category 1,6.0,90,"5.030,000,000",17,"West Africa, Lesser Antilles, Greater Antilles, The Bahamas, East Coast of the United States, Eastern Canada"
2020,Marco,Category 1,11.81,75,35000000,0,"Central America, western Caribbean, Yucatán Peninsula, Gulf Coast of the United States"
2020,Laura,Category 4,10.0,150,23300000000,81,"Lesser Antilles, Greater Antilles, The Bahamas, Gulf Coast of the United States, Midwestern United States, Eastern United States"
2020,Sally,Category 2,22.5,110,7300000,9,"The Bahamas, Cuba, U.S. Gulf Coast, Southeastern United States"
2020,Gamma,Category 1,15.0,75,100000000,6,"Honduras, Yucatán Peninsula, Cayman Islands, Cuba, Florida"
2020,Delta,Category 4,15.0,140,3090000000,6,"Jamaica, Nicaragua, Cayman Islands, Yucatán Peninsula, Gulf Coast of the United States, Eastern United States"
2020,Zeta,Category 3,2.43,115,4400000000,9,"Cayman Islands, Jamaica, Central America, Yucatán Peninsula, Gulf Coast of the United States, Southeastern United States, Mid-Atlantic, New England, Ireland, United Kingdom"
2020,Eta,Category 4,26.33,150,8300000000,275,"San Andrés, Jamaica, Central America, Cayman Islands, Cuba, Bahamas, Southeastern United States"
2021,Elsa,Category 1,8.0,85,1200000000,13,"Lesser Antilles, Greater Antilles, Venezuela, Colombia, East Coast of the United States, Atlantic Canada"
2021,Fred,TS,9.0,65,1300000000,7,"Lesser Antilles, Greater Antilles, Eastern United States (particularly Florida and North Carolina), Southern Quebec, The Maritimes"
2021,Mindy,TS,4.85,60,75200000,23,"Colombia, Central America, Mexico, Southeastern United States"
2022,Alex,TS,11.9,70,,4,"Yucatán Peninsula, western Cuba, Florida, the Bahamas, Bermuda"
2022,Ian,Category 5,31.52,160,113000000000,161,"Trinidad and Tobago, Venezuela, Colombia, ABC islands, Jamaica, Cayman Islands, Cuba, Southeast United States (especially Florida and The Carolinas)"
2022,Nicole,Category 1,8.0,75,1000000000,11,"Dominican Republic, Puerto Rico, The Bahamas, Southeastern United States"
2023,Idalia,Category 4,5.5,130,3600000000,12,"Yucatán Peninsula, Cayman Islands, Western Cuba, Southeastern United States, Bermuda, Atlantic Canada"
2023,Lee,Category 5,6.5,165,50000000,4,"Bermuda, Northeastern United States, Eastern Canada"
